id,title,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel
1,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,TRUE,75,43285,525,24,All Levels
2,Learning Dynamic Website Design - PHP MySQL and JavaScript,TRUE,50,47886,285,125,All Levels
3,ChatBots: Messenger ChatBot with API.AI and Node.JS,TRUE,50,2577,529,64,All Levels
4,Projects in HTML5,TRUE,60,8777,206,75,Intermediate Level
5,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,TRUE,20,23764,490,58,Beginner Level
6,How To Make A Wordpress Website 2017 | Divi Theme Tutorial,TRUE,40,3541,202,37,Beginner Level
7,Build Your Own Backend REST API using Django REST Framework,TRUE,50,2669,112,72,Intermediate Level
8,Angular and Firebase - Build a Web App with Typescript,TRUE,150,1966,359,65,All Levels
9,Web Development Masterclass - Complete Certificate Course,TRUE,200,4090,178,348,All Levels
10,Spring Boot Tutorial For Beginners,TRUE,40,2578,210,39,Beginner Level
11,The Complete Bootstrap Masterclass Course - Build 4 Projects,TRUE,195,24978,540,67,All Levels
12,Scaling Docker on AWS,TRUE,25,3133,351,63,All Levels
13,Learn JavaScript for beginners,TRUE,200,15276,167,19,Beginner Level
14,HTML Tutorial: HTML & CSS for Beginners,TRUE,20,12458,253,82,All Levels
15,Learn by Doing: Vue JS 2.0 the Right Way,TRUE,95,1087,220,32,Intermediate Level
16,Learn Complete Web Development From Scratch,TRUE,40,14074,106,46,All Levels
17,Introduction to Web Development: HTML,TRUE,20,26800,333,55,Beginner Level
18,Web Site for Beginners - Learn Web Building like knitting,TRUE,20,9425,147,14,Beginner Level
19,How To Make A Wordpress Website 2017 - Divi Theme Tutorial,TRUE,40,2780,94,29,Beginner Level
20,Web Programming with Python,TRUE,50,35267,217,53,All Levels
21,PHP Login and Registration System - Email Confirm Activation,TRUE,100,2607,317,49,All Levels
22,PSD to Responsive HTML5: Beginner to Advanced,TRUE,40,1502,218,49,All Levels
23,Ultimate Web Developer Course Build 10 Websites from Scratch,TRUE,200,9359,110,402,Beginner Level
24,Rapid Website Design with Bootstrap,TRUE,200,14842,131,17,Beginner Level
25,Build Enterprise Applications with Angular 2 (and Angular 4),TRUE,190,6082,848,135,Intermediate Level
26,Angular 4 (2+) Crash Course for Beginners,TRUE,120,12366,506,120,Beginner Level
27,Accelerated JavaScript Training,TRUE,110,4720,1017,126,All Levels
28,"Beginner API development in Node, Express, ES6, & MongoDB",TRUE,165,7057,655,65,Beginner Level
29,React JS and Redux - Mastering Web Apps,TRUE,60,16829,820,77,All Levels
30,Web Development w/ Google’s Go (golang) Programming Language,TRUE,65,4872,662,171,Intermediate Level
31,Git a Web Developer Job: Mastering the Modern Workflow,TRUE,200,5809,1445,61,Beginner Level
32,The Complete WordPress Website Business Course,TRUE,150,13439,1981,89,All Levels
33,The Complete HTML and CSS Course For Beginners,TRUE,85,733,104,50,All Levels
34,Learn  Bootstrap Development By Building 10 Projects,TRUE,60,14813,1358,74,All Levels
35,Advanced Javascript,TRUE,200,6601,1304,26,Intermediate Level
36,Dissecting Ruby on Rails 5 - Become a Professional Developer,TRUE,195,2804,418,212,All Levels
37,The Complete Wordpress Course - Build Your Own Website Today,TRUE,195,9421,73,36,All Levels
38,JQuery Essentials core training for Dynamic Interactive web,TRUE,100,9668,38,52,All Levels
39,Node.js: The Essentials + API Frameworks Express KOA Sails,TRUE,20,2760,52,34,Beginner Level
40,The Complete PHP Bootcamp Course With Video Sharing Project,TRUE,195,9831,56,74,Beginner Level
41,Build a Single Page Application with jQuery & AJAX,TRUE,60,486,59,27,Intermediate Level
42,Practical CSS Website Development: Crash Course ,TRUE,95,11170,35,19,All Levels
43,Successful website creation - everything you need to know,TRUE,150,9384,21,16,All Levels
44,Start Writing JavaScript Today - Beginner JavaScript Course,TRUE,100,9067,41,27,Beginner Level
45,HTML5 Essentials for Beginners,TRUE,20,10247,200,15,Intermediate Level
46,Code a personal splash page in 1 hour,TRUE,20,10610,83,10,Beginner Level
47,Step-by-step HTML and CSS for Absolute Beginners,TRUE,120,6162,324,43,Beginner Level
48,Angular 4 Development Decoded,TRUE,20,1802,13,8,Intermediate Level
49,Javascript ES6! A Complete Reference Guide to Javascript ES6,TRUE,175,4783,41,48,Intermediate Level
50,Reactive JS:  Are you ready for the next big paradigm shift?,TRUE,60,2097,401,28,Intermediate Level
51,Learn Python and Django: Payment Processing,TRUE,70,17714,198,23,All Levels
52,Code your first Website using HTML & CSS: Project Learning,TRUE,20,9554,368,16,Beginner Level
53,"React.js: Building Production Ready Apps, Start to Finish",TRUE,50,1129,137,77,All Levels
54,Learn Object Oriented Programming PHP fundamentals bootcamp,TRUE,100,22213,142,16,All Levels
55,Javascript Intermediate level 2 - Mastering Functions,TRUE,100,2412,116,28,All Levels
56,1 Hour CSS,TRUE,100,18324,333,16,Beginner Level
57,"Become a Full Stack Developer with Spring, AWS and Stripe",TRUE,75,1696,193,60,Intermediate Level
58,Complete JQuery And JQuery UI Course For Beginner,TRUE,80,7169,277,20,Intermediate Level
59,Learn JavaScript for Web Development,TRUE,75,12893,220,95,Intermediate Level
60,"Complete AJAX Using Bootstrap, PHP From Basic To Advanced.",TRUE,195,4708,111,18,All Levels
61,Complete Wordpress Theme Development Course,TRUE,150,1050,223,64,All Levels
62,How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience,TRUE,125,7852,46,31,All Levels
63,Build A Web App With Spring Framework and Angular 2,TRUE,145,1683,340,48,All Levels
64,Projects in Laravel: Learn Laravel Building 10 Projects,TRUE,50,119,6,70,Intermediate Level
65,Javascript Intermediate level 3 - JSON,TRUE,100,1735,76,25,All Levels
66,Develop Your First App in an Hour,TRUE,20,3699,201,11,Beginner Level
67,PHP: Ultimate guide to PHP for everyone,TRUE,115,10103,75,20,Beginner Level
68,JavaScript DOM Dynamic Web interactive content Boot Camp,TRUE,75,7380,43,59,All Levels
69,"Master JavaScript Programming, 3 Projects Included !!",TRUE,20,3903,53,107,All Levels
70,HTML CSS Learn to create a website from scratch,TRUE,50,4892,49,32,Beginner Level
71,Complete Codeigniter: From Beginner to Advanced,TRUE,200,2786,31,20,All Levels
72,HTML 5: How I made websites in HTML5,TRUE,135,15064,237,15,All Levels
73,"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",TRUE,95,22623,783,73,All Levels
74,Complete React JS web developer with ES6 - Build 10 projects,TRUE,200,952,121,75,Beginner Level
75,Complete WordPress Theme Developer Course With Bootstrap,TRUE,150,3415,312,160,All Levels
76,The Complete Ethical Hacking Course 2.0: Python & Kali Linux,TRUE,195,7827,268,66,All Levels
77,Dynamic JavaScript Master Class AJAX JSON Simple APIs,TRUE,200,9773,117,65,Intermediate Level
78,Vue JS - Mastering Web Apps,TRUE,80,13457,215,69,All Levels
79,Angular NgRx Store Masterclass - Covers Angular 4,TRUE,150,1399,212,89,Intermediate Level
80,JavaScript the Basics - JavaScript for Beginners,TRUE,120,4028,674,93,Beginner Level
81,"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",TRUE,195,1371,165,83,All Levels
82,"Learn SVG Animation - With HTML, CSS & Javascript",TRUE,65,12953,680,22,All Levels
83,"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",TRUE,20,5125,395,53,All Levels
84,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,TRUE,75,43285,525,24,All Levels
85,CSS Development (with CSS3!),TRUE,20,25864,188,32,All Levels
86,Angular 2 & TypeScript Beginner Web Development,TRUE,200,5211,414,133,Beginner Level
87,The Docker for DevOps course: From development to production,TRUE,25,8234,1111,110,All Levels
88,"Beginner Full Stack Web Development: HTML, CSS, React & Node",TRUE,200,2687,331,138,Beginner Level
89,Learn Angular 2 Development By Building 12 Apps,TRUE,50,5143,941,80,Intermediate Level
90,"Server API Development in Swift, Kitura, & Bluemix",TRUE,200,1827,129,66,Beginner Level
91,React VR - Creating Virtual Reality Apps,TRUE,80,5026,72,43,All Levels
92,RxJs & Reactive Programming Angular Masterclass - Angular 4,TRUE,150,1301,179,80,All Levels
93,"Coding for Entrepreneurs: Learn Python, Django, and More.",TRUE,195,23412,799,251,All Levels
94,React and Flux Web Development for Beginners,TRUE,100,8691,836,63,Beginner Level
95,The Full Stack Web Development,TRUE,60,3119,453,207,Beginner Level
96,Learn Nodejs by building 12 projects,TRUE,50,10150,997,90,All Levels
97,How to Make an Online Portfolio Website from Scratch ,FALSE,0,14026,232,25,All Levels
98,How To Make A Web Page With No Code,FALSE,0,2214,20,23,Beginner Level
99,Spring Framework 4 And Dependency Injection For Beginners,FALSE,0,21147,1220,16,Beginner Level
100,Joomla 3 - The Basics,FALSE,0,19909,411,17,Beginner Level
101,jQuery in Action: Build 8 jQuery Projects,TRUE,100,1385,89,97,All Levels
102,Master WordPress Plugins: Shortcodes Ultimate - The Basics,FALSE,0,10780,110,19,All Levels
